手机绿屏问题严重，外观可以，质量问题耽误了很长时间，不过已经退货了，所以勉强中评吧。,2,手机 绿屏 外观 质量 耽误 长时间 退货 勉强 中评
明明写的是双卡双待， 咋拿到手是单卡呢？,1,明明 写 双卡 双待 拿到 手是 单卡
刷视频会偶尔卡一下 还有绿屏,2,刷 视频 卡 绿屏
以为是深灰色的，结果光线下会变幻为银色，介于亮银和浅灰之间，界面不错，屏幕显示细腻，拍照清晰，指纹识别灵敏，系统运行流畅，总体来说还是很满意的。,3,深灰色 光线 下会 变幻 银色 亮 银 浅灰 之间 界面 不错 屏幕显示 细腻 拍照 清晰 指纹识别 灵敏 系统 运行 流畅 总体 满意
对比了好多个牌子最终选择的是K40S，果然没让人失望，体验感很好，看视频或者游戏运行都很流畅，画面清晰，指纹锁也很灵敏，爱了。。。,3,好多个 牌子 最终 选择 K40S 失望 体验 感 视频 游戏 运行 流畅 画面 清晰 指纹锁 灵敏 爱
外形外观：色实机一点都不好看  屏幕音效：最满意的就是屏幕和音效，摆脱了k20p单扬声器感觉换了个新世界 拍照效果：扫码水平，前摄像头美颜过度 运行速度：垃圾，动不动就杀后台 待机时间：并没有想象中的nb，2k高刷屏耗电贼快，还好充电速度快可以弥补回来,2,外形 外观 色实机 一点 好看 屏幕 音效 满意 屏幕 音效 摆脱 k20p 扬声器 感觉 换 新世界 拍照 效果 扫码 水平 前 摄像头 美颜 过度 运行 速度 垃圾 杀 后台 待机时间 想象 中 nb 2k 高 刷屏 耗电 贼 还好 充电 速度 弥补 回来
这刚使用就一卡一卡的，也是有点懵,2,这刚 一卡 一卡 懵
收到货打开手机、手机屏幕上就已经下载好基本运用程序、连拼多多和微信，腾讯淘宝什么乱七八糟的软件都下载好了。感觉不是新机 。新机不会有这种程序。,2,收到 货 打开 手机 手机 屏幕 下载 程序 拼 微信 腾讯 淘宝 乱七八糟 软件 下载 感觉 新机 新机 程序
不管是流量，还是无线网，玩游戏网络都卡的一批，,1,流量 无线网 玩游戏 网络 卡 一批
手机定位老人手机，确把老人喜欢的农历阉割了，差评,2,手机 定位 老人 手机 确把 老人 喜欢 农历 阉割 差评
用了7年小米这是最差的一个手机,1,年 小米 这是 最差 手机
打游戏帧率并不稳定，8100也没晚上说的这么牛,2,打游戏 帧 率 稳定 8100 晚上 说 牛
买来的时候拆开边框有轻微划痕，应该是别人退货的，塑料边框很容易刮花 尤其是尾插的地方塑料的没插几次就掉漆了,1,买来 拆开 边框 轻微 划痕 退货 塑料 边框 刮花 尾 插 地方 塑料 插 几次 掉 漆
当游戏手机买的，结果王者荣耀都会掉帧，小米红米系列的以后不会再买了,2,游戏 手机 买 王者 荣耀 掉 帧 小米 红米 系列 买
外观设计漂亮，尺寸大小合适，手机流畅，屏幕效果很棒，2k屏幕果然棒，感觉很好，发货速度快，服务态度一流，给力！5星好评！,3,外观设计 漂亮 尺寸 大小 合适 手机 流畅 屏幕 效果 很棒 2k 屏幕 棒 感觉 发货 速度 服务态度 一流 给力 星 好评
入手一个多月了，很少用，感觉手机烫的很，就是没用放在那里都会发热，而且就是放在那里没有电量都消耗的很快，经常性的放在那里没电了就自己关机了,2,入手 一个多月 感觉 手机 烫 没用 放在 发热 放在 电量 消耗 很快 经常性 放在 没电 关机
去年买的k40，今年k50，手机没的说，性价比超高！系统很流畅！值得购买。,3,去年 买 k40 k50 手机 说 性价比 超高 系统 流畅 值得 购买
Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池  6GB +128GB 浅梦星河 智能手机 小米 红米 给同事买的一款手机，同事看我在用红米，也让我给他买了一部。就是电池不耐用，根本就没那么大，虽然中间换了一次新的，但还是不怎么样，还不如我双十一买的K40耐用,2,Redmi Note 11 5G 天玑 810 33W Pro 快充 5000mAh 电池 6GB 128GB 浅梦 星河 智能手机 小米 红米 同事 买 一款 手机 同事 红米 买 一部 电池 耐用 换 新 不怎么样 双十 一买 K40 耐用
新手机反应就是快，其他没什么亮点。,2,新手机 没什么 亮点
不好也不坏，一般般,2,不好 不坏 一般般
还是热，bug也挺多，wifi有时候非常慢，前置摄像头很阴间，有时候通话也不清晰，不知道是系统原因还是机子在看不见的地方缩水了。,2,热 bug 挺 wifi 有时候 慢 前置 摄像头 阴间 有时候 通话 清晰 系统 原因 机子 看不见 地方 缩水
屏幕色彩一般 亮度调低看视频暗处一坨一坨的，机身完全没手感?怎么拿都别扭，玩游戏会卡屏，app无响应,2,屏幕 色彩 亮度 调低 视频 暗处 一坨 坨 机身 手感 别扭 玩游戏 会卡屏 app 响应
充电发热，看视频都发热！伤心,1,充电 发热 视频 发热 伤心
真牛。 用京东这么久了。 买这个手机给我发成别的。核实加退换来回3/5天。  为什么你们的错误要我们消费者来买单,1,真牛 京东 这么久 买 手机 给我发 成 核实 加 退换 来回 天 错误 消费者 买单
64瓦的快充畅快的体验。2K屏清晰，双扬声器音感非常舒服。除了相机有些不仅人与之外，其他各个方面都挺好的。尤其是没E这款后可看的非常非常好看， 运行速度：运行速度也是很nice，后台能开启很多应用，杀后台的情况也有改善。,3,64 瓦 快充 畅快 体验 2K 屏 清晰 双 扬声器 音感 舒服 相机 之外 各个方面 挺 E 这款 好看 运行 速度 运行 速度 nice 后台 开启 杀 后台 情况 改善
一般，没有网上说的那么好，用了这几天的感受:主要是屏膜有时候不好用，有时候没反应，像机太一般，电池对于我来说还行，因为我不玩游戏，顶多刷刷视频，外观我挺喜欢的，音量还行，其他方面没发现什么，(主要是屏膜实在不太好，专业术语我也不会说，)感觉一般。,2,网上 说 几天 感受 屏膜 有时候 不好 有时候 机太 电池 行 玩游戏 刷刷 视频 外观 挺 喜欢 音量 行 发现 屏膜 实在 不太好 专业术语 说 感觉
外形外观：超级无敌的好看，很喜欢的一款手机，没错了。 屏幕音效：音效不错，听歌很好 拍照效果：效果好，不用p图都好看！ 运行速度：速度很快打游戏也可以。 待机时间：时间久，不错 其他特色：价格可以，颜色好看。。。,3,外形 外观 超级 无敌 好看 喜欢 一款 手机 没错 屏幕 音效 音效 不错 听歌 拍照 效果 效果 不用 p 图 好看 运行 速度 速度 很快 打游戏 待机时间 时间 久 不错 特色 价格 颜色 好看
还是有一定差距，而且还会卡。,2,差距 还会卡
给妈妈买的，因为疫情推迟了一个月才收到。收到后还是很惊艳，红米系列是目前市面性价比较高的手机，电池储量大，系统流畅，妈妈很喜欢。京东快递一如既往的好。,3,妈妈 买 疫情 推迟 一个月 收到 收到 惊艳 红米 系列 市面 性价比 高 手机 电池 储量 系统 流畅 妈妈 喜欢 京东 快递 一如既往
手机用起来一点都不顺畅，文档导出点半天没有反应,1,手机 一点 顺畅 文档 导出 点 半天
打游戏发热严重，APP会卡。像素不行。,2,打游戏 发热 APP 会卡 像素 不行
外形外观：银色yyds，Redmi 这两年外观设计进步很大 屏幕音效：2K E4 + 120Hz + 杜比全景声，这个价位还有谁？ 运行速度：天玑8100真年度神U 待机时间：一天妥妥,3,外形 外观 银色 yyds Redmi 两年 外观设计 很大 屏幕 音效 2K E4 120Hz 杜比 全景 声 价位 运行 速度 天玑 8100 真 年度 神 U 待机时间 妥妥
用了不到一个月 换个手机贴膜 屏幕起泡，客服跟我说是保护膜,1,不到 一个月 换个 手机 贴膜 屏幕 起泡 客服 说 保护膜
期待度很高的一款，整体非常棒，实物比图片更好看，天玑8100完全满足日常需要，充电，续航同样非常优秀，2k屏效果也是拉满，不错的一款手机，推荐入手。,3,期待 度 高 一款 整体 棒 实物 图片 更好 天玑 8100 日常 充电 续航 优秀 2k 屏 效果 拉满 不错 一款 手机 推荐 入手
外形很美，喜欢，2k屏幕清晰舒服，大运行内存，开很多应用一点不卡顿，大电池非常耐用！点赞一万个！,3,外形 美 喜欢 2k 屏幕 清晰 舒服 运行 内存 开 一点 不卡顿 电池 耐用 点赞 一万个
墨羽配色太炫酷了，好看！运行速度畅快，电池续航持久，充电快，屏幕显示清晰细腻，两端喇叭配上杜比全景立体声很强悍，音效真不错。拍照效果相当清晰，还有OIS防抖，这性价比值了。,3,墨羽 配色 太炫酷 好看 运行 速度 畅快 电池 续航 持久 充电 屏幕显示 清晰 细腻 两端 喇叭 配 杜比 全景 立体声 强悍 音效 真不错 拍照 效果 清晰 OIS 防抖 性价比 值
外形外观：银色挺漂亮，一直十分讨厌凸起的摄像头，**是噩梦 屏幕音效：屏幕效果挺好，声音比较大。 拍照效果：拍照不多，效果还可以。 运行速度：一般使用足够，不打游戏。 待机时间：待机时间没有很长，24小时，轻度使用，上班时间偶尔使用，路上刷2个小时，休息刷2.3个小时，一天一充。 其他特色：充电速度很快。但机器存在问题，可能是系统有问题，第一个七天，短信发不进来，重启恢复，第二个七天，数据流量不可用，重启恢复，目前10多天，有各种小问题，比如角标提示无法清除，偶尔系统动画加速等。,2,外形 外观 银色 挺 漂亮 讨厌 凸起 摄像头 噩梦 屏幕 音效 屏幕 效果 挺 声音 拍照 效果 拍照 效果 运行 速度 足够 打游戏 待机时间 待机时间 很长 24 小时 轻度 上班时间 路上 刷 小时 休息 刷 2.3 小时 一充 特色 充电 速度 很快 机器 系统 第一个 七天 短信 发 重启 恢复 第二个 七天 数据 流量 重启 恢复 10 多天 角标 提示 清除 系统 动画 加速
通话有问题。老是出现对方说的话突然有几个字听不到。已换...,2,通话 说 几个 字 听 不到 已换
第一次用小米的手机， 王者卡顿  偶尔卡死? 根本达不到测评的标准， 续航还是不错的   玩游戏还是看看别的手机吧??????????????????,2,第一次 小米 手机 王者 卡顿 卡死 达 不到 测评 标准 续航 不错 玩游戏 手机
没有送膜和壳,2,送膜 壳
手感挺喜欢的，但是有些场所信号接收很差，例如我在学校的自习室，发消息有时候就会转圈圈。还有会断触，打字输入法常常断触，我以为是我的手的问题，我去米粉，发现别人打游戏也断触，还有这个屏幕要看瞎了，能不能优化下加个dc调光,2,手感 挺 喜欢 场所 信号 接收 很差 学校 自习室 发消息 有时候 转圈圈 会断触 打字 输入法 断触 手 米粉 发现 打游戏 断触 屏幕 瞎 优化 下加个 dc 调光
